,mun_name,mun_code,account_type,label,total_amount,province,Province
2013,Umgungundlovu,DC22,AUDA,Total By Customer Group,300639467,KwaZulu-Natal,KwaZulu-Natal
2013,Umzinyathi,DC24,AUDA,Total By Income Source,175035387,KwaZulu-Natal,KwaZulu-Natal
2013,Umzinyathi,DC24,AUDA,Total By Customer Group,175035387,KwaZulu-Natal,KwaZulu-Natal
2013,Amajuba,DC25,AUDA,Total By Income Source,64385,KwaZulu-Natal,KwaZulu-Natal
2013,Amajuba,DC25,AUDA,Total By Customer Group,64385,KwaZulu-Natal,KwaZulu-Natal
2013,Zululand,DC26,AUDA,Total By Income Source,60597865,KwaZulu-Natal,KwaZulu-Natal
2013,Zululand,DC26,AUDA,Total By Customer Group,60597865,KwaZulu-Natal,KwaZulu-Natal
2013,Umkhanyakude,DC27,AUDA,Total By Income Source,14037124,KwaZulu-Natal,KwaZulu-Natal
2013,Umkhanyakude,DC27,AUDA,Total By Customer Group,14037124,KwaZulu-Natal,KwaZulu-Natal
2013,Uthungulu,DC28,AUDA,Total By Income Source,46489460,KwaZulu-Natal,KwaZulu-Natal
2013,Uthungulu,DC28,AUDA,Total By Customer Group,46489460,KwaZulu-Natal,KwaZulu-Natal
2013,iLembe,DC29,AUDA,Total By Income Source,146717363,KwaZulu-Natal,KwaZulu-Natal
2013,iLembe,DC29,AUDA,Total By Customer Group,146717363,KwaZulu-Natal,KwaZulu-Natal
2013,Overberg,DC3,AUDA,Total By Income Source,2618892,KwaZulu-Natal,Western Cape
2013,Overberg,DC3,AUDA,Total By Customer Group,2618892,KwaZulu-Natal,Western Cape
2013,Gert Sibande,DC30,AUDA,Total By Income Source,14000863,KwaZulu-Natal,Mpumalanga
2013,Gert Sibande,DC30,AUDA,Total By Customer Group,14000863,KwaZulu-Natal,Mpumalanga
2013,Nkangala,DC31,AUDA,Total By Income Source,22385917,KwaZulu-Natal,Mpumalanga
2013,Nkangala,DC31,AUDA,Total By Customer Group,22385917,KwaZulu-Natal,Mpumalanga
2013,Ehlanzeni,DC32,AUDA,Total By Income Source,4014219,KwaZulu-Natal,Mpumalanga
2013,Ehlanzeni,DC32,AUDA,Total By Customer Group,4014219,KwaZulu-Natal,Mpumalanga
2013,Mopani,DC33,AUDA,Total By Income Source,569520638,KwaZulu-Natal,Limpopo
2013,Mopani,DC33,AUDA,Total By Customer Group,569520638,KwaZulu-Natal,Limpopo
2013,Capricorn,DC35,AUDA,Total By Income Source,40250783,KwaZulu-Natal,Limpopo
2013,Capricorn,DC35,AUDA,Total By Customer Group,40250783,KwaZulu-Natal,Limpopo
2013,Waterberg,DC36,AUDA,Total By Income Source,4733,KwaZulu-Natal,Limpopo
2013,Waterberg,DC36,AUDA,Total By Customer Group,4733,KwaZulu-Natal,Limpopo
2013,Bojanala,DC37,AUDA,Total By Income Source,1239301,KwaZulu-Natal,North West
2013,Bojanala,DC37,AUDA,Total By Customer Group,1239301,KwaZulu-Natal,North West
2013,Ngaka Modiri Molema,DC38,AUDA,Total By Income Source,70183827,KwaZulu-Natal,North West
2013,Ngaka Modiri Molema,DC38,AUDA,Total By Customer Group,70183827,KwaZulu-Natal,North West
2013,Eden,DC4,AUDA,Total By Income Source,6282344,KwaZulu-Natal,Western Cape
2013,Eden,DC4,AUDA,Total By Customer Group,6282344,KwaZulu-Natal,Western Cape
2013,Dr Kenneth Kaunda,DC40,AUDA,Total By Income Source,2288053,KwaZulu-Natal,North West
2013,Dr Kenneth Kaunda,DC40,AUDA,Total By Customer Group,2288053,KwaZulu-Natal,North West
2013,Sedibeng,DC42,AUDA,Total By Income Source,9778790,KwaZulu-Natal,Gauteng
2013,Sedibeng,DC42,AUDA,Total By Customer Group,9778790,KwaZulu-Natal,Gauteng
2013,Harry Gwala,DC43,AUDA,Total By Income Source,80052307,KwaZulu-Natal,KwaZulu-Natal
2013,Harry Gwala,DC43,AUDA,Total By Customer Group,80052311,KwaZulu-Natal,KwaZulu-Natal
2013,Alfred Nzo,DC44,AUDA,Total By Income Source,16990585,KwaZulu-Natal,Eastern Cape
2013,Alfred Nzo,DC44,AUDA,Total By Customer Group,16990585,KwaZulu-Natal,Eastern Cape
2013,John Taolo Gaetsewe,DC45,AUDA,Total By Income Source,7197816,KwaZulu-Natal,Northern Cape
2013,John Taolo Gaetsewe,DC45,AUDA,Total By Customer Group,7197816,KwaZulu-Natal,Northern Cape
2013,Sekhukhune,DC47,AUDA,Total By Income Source,135695521,KwaZulu-Natal,Limpopo
2013,Sekhukhune,DC47,AUDA,Total By Customer Group,135695521,KwaZulu-Natal,Limpopo
2013,West Rand,DC48,AUDA,Total By Income Source,6282844,KwaZulu-Natal,Gauteng
2013,West Rand,DC48,AUDA,Total By Customer Group,6282844,KwaZulu-Natal,Gauteng
2013,Central Karoo,DC5,AUDA,Total By Income Source,368143,KwaZulu-Natal,Western Cape
2013,Central Karoo,DC5,AUDA,Total By Customer Group,368143,KwaZulu-Natal,Western Cape
2013,Pixley ka Seme,DC7,AUDA,Total By Income Source,260630,KwaZulu-Natal,Northern Cape
2013,Pixley ka Seme,DC7,AUDA,Total By Customer Group,260630,KwaZulu-Natal,Northern Cape
2013,Frances Baard,DC9,AUDA,Total By Income Source,2657909,KwaZulu-Natal,Northern Cape
2013,Frances Baard,DC9,AUDA,Total By Customer Group,2657909,KwaZulu-Natal,Northern Cape
2013,Dr Beyers Naude,EC101,AUDA,Total By Income Source,48044376,KwaZulu-Natal,Eastern Cape
2013,Dr Beyers Naude,EC101,AUDA,Total By Customer Group,48044376,KwaZulu-Natal,Eastern Cape
2013,Blue Crane Route,EC102,AUDA,Total By Income Source,38031334,KwaZulu-Natal,Eastern Cape
2013,Blue Crane Route,EC102,AUDA,Total By Customer Group,38031334,KwaZulu-Natal,Eastern Cape
2013,Ikwezi,EC103,AUDA,Total By Income Source,19826962,KwaZulu-Natal,Eastern Cape
2013,Ikwezi,EC103,AUDA,Total By Customer Group,19826962,KwaZulu-Natal,Eastern Cape
2013,Makana,EC104,AUDA,Total By Income Source,248612908,KwaZulu-Natal,Eastern Cape
2013,Makana,EC104,AUDA,Total By Customer Group,35191441,KwaZulu-Natal,Eastern Cape
2013,Sundays River Valley,EC106,AUDA,Total By Income Source,105159791,KwaZulu-Natal,Eastern Cape
2013,Sundays River Valley,EC106,AUDA,Total By Customer Group,105159791,KwaZulu-Natal,Eastern Cape
2013,Baviaans,EC107,AUDA,Total By Income Source,4690931,KwaZulu-Natal,Eastern Cape
2013,Baviaans,EC107,AUDA,Total By Customer Group,4690931,KwaZulu-Natal,Eastern Cape
2013,Kouga,EC108,AUDA,Total By Income Source,94581183,KwaZulu-Natal,Eastern Cape
2013,Kouga,EC108,AUDA,Total By Customer Group,94581183,KwaZulu-Natal,Eastern Cape
2013,Kou-Kamma,EC109,AUDA,Total By Income Source,38715446,KwaZulu-Natal,Eastern Cape
2013,Kou-Kamma,EC109,AUDA,Total By Customer Group,38715446,KwaZulu-Natal,Eastern Cape
2013,Mbhashe,EC121,AUDA,Total By Income Source,25844849,KwaZulu-Natal,Eastern Cape
2013,Mbhashe,EC121,AUDA,Total By Customer Group,25844849,KwaZulu-Natal,Eastern Cape
2013,Mnquma,EC122,AUDA,Total By Income Source,93770014,KwaZulu-Natal,Eastern Cape
2013,Mnquma,EC122,AUDA,Total By Customer Group,93770014,KwaZulu-Natal,Eastern Cape
2013,Amahlathi,EC124,AUDA,Total By Income Source,53578620,KwaZulu-Natal,Eastern Cape
2013,Amahlathi,EC124,AUDA,Total By Customer Group,53578620,KwaZulu-Natal,Eastern Cape
2013,Ngqushwa,EC126,AUDA,Total By Income Source,33962953,KwaZulu-Natal,Eastern Cape
2013,Ngqushwa,EC126,AUDA,Total By Customer Group,33962833,KwaZulu-Natal,Eastern Cape
2013,Nxuba,EC128,AUDA,Total By Income Source,17857119,KwaZulu-Natal,Eastern Cape
2013,Nxuba,EC128,AUDA,Total By Customer Group,0,KwaZulu-Natal,Eastern Cape
2013,Inxuba Yethemba,EC131,AUDA,Total By Income Source,219085107,KwaZulu-Natal,Eastern Cape
2013,Inxuba Yethemba,EC131,AUDA,Total By Customer Group,219085107,KwaZulu-Natal,Eastern Cape
2013,Tsolwana,EC132,AUDA,Total By Income Source,20589413,KwaZulu-Natal,Eastern Cape
2013,Tsolwana,EC132,AUDA,Total By Customer Group,20589413,KwaZulu-Natal,Eastern Cape
2013,Inkwanca,EC133,AUDA,Total By Income Source,48469313,KwaZulu-Natal,Eastern Cape
2013,Inkwanca,EC133,AUDA,Total By Customer Group,48469313,KwaZulu-Natal,Eastern Cape
2013,Lukanji,EC134,AUDA,Total By Income Source,470948343,KwaZulu-Natal,Eastern Cape
2013,Lukanji,EC134,AUDA,Total By Customer Group,470948343,KwaZulu-Natal,Eastern Cape
2013,Intsika Yethu,EC135,AUDA,Total By Income Source,15866552,KwaZulu-Natal,Eastern Cape
2013,Intsika Yethu,EC135,AUDA,Total By Customer Group,15866552,KwaZulu-Natal,Eastern Cape
2013,Emalahleni,EC136,AUDA,Total By Income Source,108595635,KwaZulu-Natal,Eastern Cape
2013,Emalahleni,EC136,AUDA,Total By Customer Group,108595635,KwaZulu-Natal,Eastern Cape
2013,Engcobo,EC137,AUDA,Total By Income Source,5824380,KwaZulu-Natal,Eastern Cape
2013,Engcobo,EC137,AUDA,Total By Customer Group,5824380,KwaZulu-Natal,Eastern Cape
2013,Elundini,EC141,AUDA,Total By Income Source,46550535,KwaZulu-Natal,Eastern Cape
2013,Elundini,EC141,AUDA,Total By Customer Group,46550535,KwaZulu-Natal,Eastern Cape
2013,Senqu,EC142,AUDA,Total By Income Source,19197787,KwaZulu-Natal,Eastern Cape
2013,Senqu,EC142,AUDA,Total By Customer Group,19197786,KwaZulu-Natal,Eastern Cape
2013,Maletswai,EC143,AUDA,Total By Income Source,8606124,KwaZulu-Natal,Eastern Cape
2013,Maletswai,EC143,AUDA,Total By Customer Group,8606125,KwaZulu-Natal,Eastern Cape
2013,Gariep,EC144,AUDA,Total By Income Source,8405082,KwaZulu-Natal,Eastern Cape
2013,Gariep,EC144,AUDA,Total By Customer Group,8405082,KwaZulu-Natal,Eastern Cape
2013,Nyandeni,EC155,AUDA,Total By Income Source,9422030,KwaZulu-Natal,Eastern Cape
2013,Nyandeni,EC155,AUDA,Total By Customer Group,9422030,KwaZulu-Natal,Eastern Cape
2013,Mhlontlo,EC156,AUDA,Total By Income Source,17736659,KwaZulu-Natal,Eastern Cape
2013,Mhlontlo,EC156,AUDA,Total By Customer Group,17736662,KwaZulu-Natal,Eastern Cape
2013,King Sabata Dalindyebo,EC157,AUDA,Total By Income Source,325379318,KwaZulu-Natal,Eastern Cape
2013,King Sabata Dalindyebo,EC157,AUDA,Total By Customer Group,325379318,KwaZulu-Natal,Eastern Cape
2013,Matatiele,EC441,AUDA,Total By Income Source,41432848,KwaZulu-Natal,Eastern Cape
2013,Matatiele,EC441,AUDA,Total By Customer Group,41432848,KwaZulu-Natal,Eastern Cape
2013,Umzimvubu,EC442,AUDA,Total By Income Source,43697803,KwaZulu-Natal,Eastern Cape
2013,Umzimvubu,EC442,AUDA,Total By Customer Group,43697803,KwaZulu-Natal,Eastern Cape
2013,Mbizana,EC443,AUDA,Total By Income Source,16234501,KwaZulu-Natal,Eastern Cape
2013,Mbizana,EC443,AUDA,Total By Customer Group,16234501,KwaZulu-Natal,Eastern Cape
2013,Ntabankulu,EC444,AUDA,Total By Income Source,7996761,KwaZulu-Natal,Eastern Cape
2013,Ntabankulu,EC444,AUDA,Total By Customer Group,0,KwaZulu-Natal,Eastern Cape
2013,Ekurhuleni,EKU,AUDA,Total By Income Source,10607561326,KwaZulu-Natal,Eastern Cape
2013,Ekurhuleni,EKU,AUDA,Total By Customer Group,10607561326,KwaZulu-Natal,Eastern Cape
2013,eThekwini,ETH,AUDA,Total By Income Source,9222895004,KwaZulu-Natal,Gauteng
2013,eThekwini,ETH,AUDA,Total By Customer Group,9222895004,KwaZulu-Natal,Gauteng
2013,Kopanong,FS162,AUDA,Total By Income Source,92073814,KwaZulu-Natal,KwaZulu-Natal
2013,Kopanong,FS162,AUDA,Total By Customer Group,92073814,KwaZulu-Natal,KwaZulu-Natal
2013,Masilonyana,FS181,AUDA,Total By Income Source,251014855,KwaZulu-Natal,Free State
2013,Masilonyana,FS181,AUDA,Total By Customer Group,251014855,KwaZulu-Natal,Free State
2013,Tokologo,FS182,AUDA,Total By Income Source,3681986,KwaZulu-Natal,Free State
2013,Tokologo,FS182,AUDA,Total By Customer Group,3681986,KwaZulu-Natal,Free State
2013,Tswelopele,FS183,AUDA,Total By Income Source,32568807,KwaZulu-Natal,Free State
2013,Tswelopele,FS183,AUDA,Total By Customer Group,32568807,KwaZulu-Natal,Free State
2013,Matjhabeng,FS184,AUDA,Total By Income Source,152118437,KwaZulu-Natal,Free State
2013,Matjhabeng,FS184,AUDA,Total By Customer Group,152118437,KwaZulu-Natal,Free State
2013,Setsoto,FS191,AUDA,Total By Income Source,211711851,KwaZulu-Natal,Free State
2013,Setsoto,FS191,AUDA,Total By Customer Group,211711851,KwaZulu-Natal,Free State
2013,Dihlabeng,FS192,AUDA,Total By Income Source,406637108,KwaZulu-Natal,Free State
2013,Dihlabeng,FS192,AUDA,Total By Customer Group,406637108,KwaZulu-Natal,Free State
2013,Maluti a Phofung,FS194,AUDA,Total By Income Source,130795325,KwaZulu-Natal,Free State
2013,Maluti a Phofung,FS194,AUDA,Total By Customer Group,130795325,KwaZulu-Natal,Free State
2013,Phumelela,FS195,AUDA,Total By Income Source,1190276,KwaZulu-Natal,Free State
2013,Phumelela,FS195,AUDA,Total By Customer Group,1190277,KwaZulu-Natal,Free State
2013,Mantsopa,FS196,AUDA,Total By Income Source,215032158,KwaZulu-Natal,Free State
2013,Mantsopa,FS196,AUDA,Total By Customer Group,215032158,KwaZulu-Natal,Free State
2013,Moqhaka,FS201,AUDA,Total By Income Source,56139304,KwaZulu-Natal,Free State
2013,Moqhaka,FS201,AUDA,Total By Customer Group,56139304,KwaZulu-Natal,Free State
2013,Ngwathe,FS203,AUDA,Total By Income Source,413801805,KwaZulu-Natal,Free State
2013,Ngwathe,FS203,AUDA,Total By Customer Group,413801805,KwaZulu-Natal,Free State
2013,Metsimaholo,FS204,AUDA,Total By Income Source,462785396,KwaZulu-Natal,Free State
2013,Metsimaholo,FS204,AUDA,Total By Customer Group,462785396,KwaZulu-Natal,Free State
2013,Mafube,FS205,AUDA,Total By Income Source,35257255,KwaZulu-Natal,Free State
2013,Mafube,FS205,AUDA,Total By Customer Group,35257255,KwaZulu-Natal,Free State
2013,Emfuleni,GT421,AUDA,Total By Income Source,2975456885,KwaZulu-Natal,Free State
2013,Emfuleni,GT421,AUDA,Total By Customer Group,2975456885,KwaZulu-Natal,Free State
2013,Midvaal,GT422,AUDA,Total By Income Source,150529466,KwaZulu-Natal,Gauteng
2013,Midvaal,GT422,AUDA,Total By Customer Group,150529465,KwaZulu-Natal,Gauteng
2013,Lesedi,GT423,AUDA,Total By Income Source,282018811,KwaZulu-Natal,Gauteng
2013,Lesedi,GT423,AUDA,Total By Customer Group,282018813,KwaZulu-Natal,Gauteng
2013,Mogale City,GT481,AUDA,Total By Income Source,921365974,KwaZulu-Natal,Gauteng
2013,Mogale City,GT481,AUDA,Total By Customer Group,921365974,KwaZulu-Natal,Gauteng
2013,Westonaria,GT483,AUDA,Total By Income Source,181151991,KwaZulu-Natal,Gauteng
2013,Westonaria,GT483,AUDA,Total By Customer Group,181151991,KwaZulu-Natal,Gauteng
2013,Merafong City,GT484,AUDA,Total By Income Source,793168534,KwaZulu-Natal,Gauteng
2013,Merafong City,GT484,AUDA,Total By Customer Group,793168533,KwaZulu-Natal,Gauteng
2013,City of Johannesburg,JHB,AUDA,Total By Income Source,18966059000,KwaZulu-Natal,Gauteng
2013,City of Johannesburg,JHB,AUDA,Total By Customer Group,18966059000,KwaZulu-Natal,Gauteng
2013,Vulamehlo,KZN211,AUDA,Total By Income Source,2034283,KwaZulu-Natal,Gauteng
2013,Vulamehlo,KZN211,AUDA,Total By Customer Group,2034283,KwaZulu-Natal,Gauteng
2013,Umdoni,KZN212,AUDA,Total By Income Source,46010872,KwaZulu-Natal,KwaZulu-Natal
2013,Umdoni,KZN212,AUDA,Total By Customer Group,46010872,KwaZulu-Natal,KwaZulu-Natal
2013,Umzumbe,KZN213,AUDA,Total By Income Source,2180192,KwaZulu-Natal,KwaZulu-Natal
2013,Umzumbe,KZN213,AUDA,Total By Customer Group,2180192,KwaZulu-Natal,KwaZulu-Natal
2013,uMuziwabantu,KZN214,AUDA,Total By Income Source,11910730,KwaZulu-Natal,KwaZulu-Natal
2013,uMuziwabantu,KZN214,AUDA,Total By Customer Group,11910730,KwaZulu-Natal,KwaZulu-Natal
2013,Ezingoleni,KZN215,AUDA,Total By Income Source,528467,KwaZulu-Natal,KwaZulu-Natal
2013,Ezingoleni,KZN215,AUDA,Total By Customer Group,528467,KwaZulu-Natal,KwaZulu-Natal
2013,Ray Nkonyeni,KZN216,AUDA,Total By Income Source,113077814,KwaZulu-Natal,KwaZulu-Natal
2013,Ray Nkonyeni,KZN216,AUDA,Total By Customer Group,113077814,KwaZulu-Natal,KwaZulu-Natal
2013,uMshwathi,KZN221,AUDA,Total By Income Source,57200528,KwaZulu-Natal,KwaZulu-Natal
2013,uMshwathi,KZN221,AUDA,Total By Customer Group,57200528,KwaZulu-Natal,KwaZulu-Natal
2013,uMngeni,KZN222,AUDA,Total By Income Source,65157350,KwaZulu-Natal,KwaZulu-Natal
2013,uMngeni,KZN222,AUDA,Total By Customer Group,65157351,KwaZulu-Natal,KwaZulu-Natal
2013,Mpofana,KZN223,AUDA,Total By Income Source,54511804,KwaZulu-Natal,KwaZulu-Natal
2013,Mpofana,KZN223,AUDA,Total By Customer Group,54511804,KwaZulu-Natal,KwaZulu-Natal
2013,Impendle,KZN224,AUDA,Total By Income Source,497294,KwaZulu-Natal,KwaZulu-Natal
2013,Impendle,KZN224,AUDA,Total By Customer Group,497294,KwaZulu-Natal,KwaZulu-Natal
2013,The Msunduzi,KZN225,AUDA,Total By Income Source,1214246938,KwaZulu-Natal,KwaZulu-Natal
2013,The Msunduzi,KZN225,AUDA,Total By Customer Group,1214246938,KwaZulu-Natal,KwaZulu-Natal
2013,Mkhambathini,KZN226,AUDA,Total By Income Source,3762191,KwaZulu-Natal,KwaZulu-Natal
2013,Mkhambathini,KZN226,AUDA,Total By Customer Group,3762191,KwaZulu-Natal,KwaZulu-Natal
2013,Richmond,KZN227,AUDA,Total By Income Source,6524448,KwaZulu-Natal,KwaZulu-Natal
2013,Richmond,KZN227,AUDA,Total By Customer Group,6524448,KwaZulu-Natal,KwaZulu-Natal
2013,Emnambithi/Ladysmith,KZN232,AUDA,Total By Income Source,130761144,KwaZulu-Natal,KwaZulu-Natal
2013,Emnambithi/Ladysmith,KZN232,AUDA,Total By Customer Group,130761144,KwaZulu-Natal,KwaZulu-Natal
2013,Indaka,KZN233,AUDA,Total By Income Source,1779396,KwaZulu-Natal,KwaZulu-Natal
2013,Indaka,KZN233,AUDA,Total By Customer Group,1779396,KwaZulu-Natal,KwaZulu-Natal
2013,Umtshezi,KZN234,AUDA,Total By Income Source,78024887,KwaZulu-Natal,KwaZulu-Natal
2013,Umtshezi,KZN234,AUDA,Total By Customer Group,78024887,KwaZulu-Natal,KwaZulu-Natal
2013,Okhahlamba,KZN235,AUDA,Total By Income Source,20063249,KwaZulu-Natal,KwaZulu-Natal
2013,Okhahlamba,KZN235,AUDA,Total By Customer Group,20063249,KwaZulu-Natal,KwaZulu-Natal
2013,Imbabazane,KZN236,AUDA,Total By Income Source,4874075,KwaZulu-Natal,KwaZulu-Natal
2013,Imbabazane,KZN236,AUDA,Total By Customer Group,4874075,KwaZulu-Natal,KwaZulu-Natal
2013,Endumeni,KZN241,AUDA,Total By Income Source,102137442,KwaZulu-Natal,KwaZulu-Natal
2013,Endumeni,KZN241,AUDA,Total By Customer Group,102137442,KwaZulu-Natal,KwaZulu-Natal
2013,Nqutu,KZN242,AUDA,Total By Income Source,10148231,KwaZulu-Natal,KwaZulu-Natal
2013,Nqutu,KZN242,AUDA,Total By Customer Group,10148231,KwaZulu-Natal,KwaZulu-Natal
2013,Umvoti,KZN245,AUDA,Total By Income Source,20733173,KwaZulu-Natal,KwaZulu-Natal
2013,Umvoti,KZN245,AUDA,Total By Customer Group,20733173,KwaZulu-Natal,KwaZulu-Natal
2013,Newcastle,KZN252,AUDA,Total By Income Source,787140251,KwaZulu-Natal,KwaZulu-Natal
2013,Newcastle,KZN252,AUDA,Total By Customer Group,787140251,KwaZulu-Natal,KwaZulu-Natal
2013,Emadlangeni,KZN253,AUDA,Total By Income Source,16264082,KwaZulu-Natal,KwaZulu-Natal
2013,Emadlangeni,KZN253,AUDA,Total By Customer Group,16264082,KwaZulu-Natal,KwaZulu-Natal
2013,Dannhauser,KZN254,AUDA,Total By Income Source,10977439,KwaZulu-Natal,KwaZulu-Natal
2013,Dannhauser,KZN254,AUDA,Total By Customer Group,10977439,KwaZulu-Natal,KwaZulu-Natal
2013,eDumbe,KZN261,AUDA,Total By Income Source,56653174,KwaZulu-Natal,KwaZulu-Natal
2013,eDumbe,KZN261,AUDA,Total By Customer Group,56653174,KwaZulu-Natal,KwaZulu-Natal
2013,uPhongolo,KZN262,AUDA,Total By Income Source,70045354,KwaZulu-Natal,KwaZulu-Natal
2013,uPhongolo,KZN262,AUDA,Total By Customer Group,70045354,KwaZulu-Natal,KwaZulu-Natal
2013,Abaqulusi,KZN263,AUDA,Total By Income Source,41822936,KwaZulu-Natal,KwaZulu-Natal
2013,Abaqulusi,KZN263,AUDA,Total By Customer Group,41822936,KwaZulu-Natal,KwaZulu-Natal
2013,Nongoma,KZN265,AUDA,Total By Income Source,15935913,KwaZulu-Natal,KwaZulu-Natal
2013,Nongoma,KZN265,AUDA,Total By Customer Group,15935913,KwaZulu-Natal,KwaZulu-Natal
2013,Ulundi,KZN266,AUDA,Total By Income Source,89817665,KwaZulu-Natal,KwaZulu-Natal
2013,Ulundi,KZN266,AUDA,Total By Customer Group,89817665,KwaZulu-Natal,KwaZulu-Natal
2013,Umhlabuyalingana,KZN271,AUDA,Total By Income Source,7203895,KwaZulu-Natal,KwaZulu-Natal
2013,Umhlabuyalingana,KZN271,AUDA,Total By Customer Group,7203895,KwaZulu-Natal,KwaZulu-Natal
2013,Jozini,KZN272,AUDA,Total By Income Source,36484033,KwaZulu-Natal,KwaZulu-Natal
2013,Jozini,KZN272,AUDA,Total By Customer Group,36484033,KwaZulu-Natal,KwaZulu-Natal
2013,The Big 5 False Bay,KZN273,AUDA,Total By Income Source,11427967,KwaZulu-Natal,KwaZulu-Natal
2013,The Big 5 False Bay,KZN273,AUDA,Total By Customer Group,11427967,KwaZulu-Natal,KwaZulu-Natal
2013,Hlabisa,KZN274,AUDA,Total By Income Source,1099638,KwaZulu-Natal,KwaZulu-Natal
2013,Hlabisa,KZN274,AUDA,Total By Customer Group,1099638,KwaZulu-Natal,KwaZulu-Natal
2013,Mtubatuba,KZN275,AUDA,Total By Income Source,40636062,KwaZulu-Natal,KwaZulu-Natal
2013,Mtubatuba,KZN275,AUDA,Total By Customer Group,40636062,KwaZulu-Natal,KwaZulu-Natal
2013,Mfolozi,KZN281,AUDA,Total By Income Source,4836455,KwaZulu-Natal,KwaZulu-Natal
2013,Mfolozi,KZN281,AUDA,Total By Customer Group,4836455,KwaZulu-Natal,KwaZulu-Natal
2013,uMhlathuze,KZN282,AUDA,Total By Income Source,163658328,KwaZulu-Natal,KwaZulu-Natal
2013,uMhlathuze,KZN282,AUDA,Total By Customer Group,163658328,KwaZulu-Natal,KwaZulu-Natal
2013,Ntambanana,KZN283,AUDA,Total By Income Source,1337259,KwaZulu-Natal,KwaZulu-Natal
2013,Ntambanana,KZN283,AUDA,Total By Customer Group,1337259,KwaZulu-Natal,KwaZulu-Natal
2013,uMlalazi,KZN284,AUDA,Total By Income Source,27523430,KwaZulu-Natal,KwaZulu-Natal
2013,uMlalazi,KZN284,AUDA,Total By Customer Group,27523430,KwaZulu-Natal,KwaZulu-Natal
2013,Mthonjaneni,KZN285,AUDA,Total By Income Source,7838144,KwaZulu-Natal,KwaZulu-Natal
2013,Mthonjaneni,KZN285,AUDA,Total By Customer Group,7838144,KwaZulu-Natal,KwaZulu-Natal
2013,Nkandla,KZN286,AUDA,Total By Income Source,16641806,KwaZulu-Natal,KwaZulu-Natal
2013,Nkandla,KZN286,AUDA,Total By Customer Group,16641806,KwaZulu-Natal,KwaZulu-Natal
2013,Mandeni,KZN291,AUDA,Total By Income Source,78177697,KwaZulu-Natal,KwaZulu-Natal
2013,Mandeni,KZN291,AUDA,Total By Customer Group,78177697,KwaZulu-Natal,KwaZulu-Natal
